Bělov;49.2186;17.4835
Bělušice;50.0649;15.3207
Bělušice;50.4441;13.7631
Bělá nad Radbuzou;49.5819;12.6770
Bělá nad Svitavou;49.6386;16.4906
Bělá pod Bezdězem;50.5048;14.8034
Bělá pod Pradědem;50.1648;17.2002
Bělá u Jevíčka;49.6428;16.6473
Bělá;49.3131;15.2613
Bělá;49.7524;15.2415
Bělá;49.9716;18.1449
Bělá;50.5399;15.4467
Bělčice;49.4994;13.8633
Běrunice;50.1962;15.3548
Běstovice;50.0225;16.2107
Běstvina;49.8300;15.5902
Běšiny;49.2988;13.3149
Běštín;49.8037;14.0179
Břasy;49.8334;13.5599
Břeclav;48.7435;16.8825
Břehov;49.0248;14.3299
Břehy;50.0579;15.5701
Břest;49.3549;17.4352
Břestek;49.1113;17.3346
Břevnice;49.6427;15.6152
Březejc;49.3497;16.1001
Březina;49.2860;16.7388
Březina;49.2942;14.9056
Březina;49.3232;16.4171
Březina;49.4047;16.9485
Březina;49.6560;16.6092
Březina;49.8104;13.6045
Březina;50.4349;15.3093
Březina;50.5448;15.0373
Březinky;49.6580;16.7910
Březiny;49.7017;16.1102
Březnice;49.1864;17.6688
Březnice;49.2534;14.5083
Březnice;49.5637;13.9557
Březno;50.3813;13.4162
Březno;50.4027;15.0138
Březník;49.1737;16.1959
Březolupy;49.1310;17.5921
Březovice;50.4806;14.7369
Březová nad Svitavou;49.6553;16.5079
Březová-Oleško;49.9135;14.4098
Březová;48.9200;17.7480
Březová;49.2623;17.7843
Březová;49.7970;17.8606
Březová;49.9113;13.8743
Březová;50.1097;12.6281
Březová;50.1944;12.8600
Březsko;49.6123;16.8872
Březské;49.3219;16.2264
Březí nad Oslavou;49.5085;15.9335
Březí;48.8158;16.5712
Březí;49.3470;16.2127
Březí;49.5020;13.8024
Březí;50.0172;14.6951
Březůvky;49.1585;17.7024
Břežany I;50.0357;15.0858
Břežany II;50.1037;14.7863
Břežany;48.8685;16.3440
Břežany;49.3477;13.6106
Břežany;50.0090;13.5725
Břidličná;49.9089;17.3711
Břvany;50.4061;13.7249
Bříství;50.1377;14.8378
Bříza;50.3507;14.2023
Bříšťany;50.3129;15.6208
Bžany;50.5920;13.8710
Cebiv;49.8374;12.9905
Cehnice;49.2164;14.0307
Cejle;49.3678;15.4536
Cekov;49.8205;13.7653
Cep;48.9331;14.8387
Cerekvice nad Bystřicí;50.3439;15.7177
Cerekvice nad Loučnou;49.9078;16.2190
Cerekvička-Rosice;49.3287;15.6028
Cerhenice;50.0722;15.0720
Cerhonice;49.4134;14.0655
Cerhovice;49.8507;13.8177
Cetechovice;49.1856;17.2691
Cetenov;50.6517;14.9168
Cetkovice;49.5827;16.7210
Cetoraz;49.4607;14.9558
Cetyně;49.6010;14.1160
Chabařovice;50.6657;13.9431
Chabeřice;49.7530;15.0569
Chaloupky;49.7644;13.8865
Chanovice;49.4043;13.6992
Charvatce;50.3202;14.9964
Charváty;49.5111;17.2376
Chbany;50.3387;13.4093
Cheb;50.0775;12.3790
Chelčice;49.1165;14.1539
Cheznovice;49.7851;13.7808
Chlebičov;49.9633;17.9783
Chleby;49.8262;14.5576
Chleby;50.2277;15.0869
Chleny;50.0783;16.2569
Chlistov;49.3204;13.3642
Chlum Svaté Maří;50.1496;12.5412
Chlum u Třeboně;48.9808;14.9276
Chlum-Korouhvice;49.5785;16.3178
Chlum;49.3106;15.7683
Chlum;49.4508;13.8591
Chlum;49.6041;13.4854
Chlum;49.6957;14.9934
Chlum;49.9360;13.6630
Chlum;50.5807;14.5548
Chlumany;49.0639;13.9597
Chlumec nad Cidlinou;50.1568;15.4506
Chlumec;48.8697;14.4033
Chlumec;50.7067;13.9339
Chlumek;49.3733;15.8533
Chlumy;49.4368;13.6371
Chlumín;50.2822;14.4459
Chlumčany;49.6300;13.3191
Chlumčany;50.3379;13.8393
Chlumětín;49.7213;15.9926
Chlustina;49.8857;13.9283
Chlístov;49.2050;15.7376
Chlístov;49.7964;14.6493
Chlístov;50.3253;16.1746
Chlístovice;49.8629;15.1734
Chmelná;49.6515;14.9838
Chmelík;49.7655;16.3207
Chobot;49.4594;13.9285
Chocenice;49.5509;13.5081
Chocerady;49.8711;14.8211
Choceň;49.9978;16.2148
Chocnějovice;50.5924;14.9647
Chocomyšl;49.4717;13.1317
Chodouny;50.4785;14.2558
Chodouň;49.8952;13.9880
Chodov;49.4124;12.8182
Chodov;50.0820;12.8737
Chodov;50.2535;12.7315
Chodovlice;50.4585;13.9962
Chodová Planá;49.9103;12.7830
Chodská Lhota;49.3515;13.0871
Chodský Újezd;49.8619;12.6371
Cholenice;50.3234;15.2878
Cholina;49.6615;17.0404
Choltice;49.9877;15.6118
Chomle;49.8640;13.6337
Chomutice;50.3618;15.4921
Chomutov;50.4661;13.4098
Chomýž;49.3593;17.6417
Choratice;49.8427;14.8706
Chornice;49.6707;16.7427
Chorušice;50.3915;14.6458
Choryně;49.5060;17.9033
Choteč;49.9887;14.2853
Choteč;50.0853;15.8801
Choteč;50.4358;15.5112
Chotilsko;49.7545;14.3516
Chotiměř;50.5490;13.9979
Chotiněves;50.5449;14.2825
Chotovice;49.8529;16.1717
Chotovice;50.7418;14.5503
Chotoviny;49.4716;14.6827
Chotusice;49.9533;15.3907
Chotutice;50.0734;14.9862
Chotyně;50.8426;14.8738
Chotíkov;49.7930;13.3189
Chotýčany;49.0705;14.5229
Chotýšany;49.7318;14.8171
Chotěboř;49.7115;15.6776
Chotěbudice;49.0599;15.5728
Chotěbuz;49.7780;18.5873
Chotěmice;49.2765;14.8734
Chotěnov;49.8288;16.1836
Chotětov;50.3333;14.7868
Chotěvice;50.5251;15.7749
Chotěšice;50.2747;15.2506
Chotěšov;49.6638;13.1953
Chotěšov;50.4433;14.0847
Choustník;49.3342;14.8330
Choustníkovo Hradiště;50.4389;15.8785
Choťovice;50.1350;15.3386
Choťánky;50.1492;15.1597
Chožov;50.4117;13.8565
Chraberce;50.4093;13.8260
Chrast;49.8891;15.9383
Chrastava;50.8237;14.9683
Chrastavec;49.6200;16.5029
Chrastavice;49.4593;12.9600
Chraštice;49.5750;14.0735
Chrbonín;49.3595;14.8768
Chroboly;48.9557;14.0749
Chromeč;49.9368;16.8915
Chropyně;49.3588;17.3736
Chroustov;50.2851;15.3420
Chroustovice;49.9576;16.0038
Chrtníky;49.9807;15.6060
Chrtníč;49.7631;15.4365
Chrudichromy;49.5095;16.6316
Chrudim;49.9509;15.7960
Chrustenice;50.0129;14.1597
Chrást;49.5978;13.9397
Chrást;49.7938;13.4895
Chrást;50.1183;14.8913
Chrášťany;49.2812;14.3762
Chrášťany;49.7893;14.5662
Chrášťany;50.0510;14.2541
Chrášťany;50.0657;14.9301
Chrášťany;50.1506;13.6800
Chrášťovice;49.3264;13.8951
Chržín;50.3073;14.2550
Chuchelna;50.6019;15.2926
Chuchelná;49.9907;18.1162
Chudenice;49.4596;13.1719
Chudenín;49.2832;13.0884
Chuderov;50.7042;14.0664
Chudeřice;50.1482;15.5486
Chudoslavice;50.5822;14.1827
Chudíř;50.3103;14.9967
Chudčice;49.2932;16.4452
Chvalatice;48.9523;15.7565
Chvaletice;50.0267;15.4295
Chvaleč;50.5905;16.0316
Chvalkovice;49.1875;17.1062
Chvalkovice;50.4186;15.9652
Chvalnov-Lísky;49.1717;17.2297
Chvalovice;48.7821;16.0595
Chvalovice;49.0112;14.2298
Chvalíkovice;49.8896;17.9085
Chvalčov;49.3869;17.7214
Chvalšiny;48.8780;14.2030
Chvatěruby;50.2456;14.3424
Chvojenec;50.1134;15.9328
Chválenice;49.6404;13.4732
Chyjice;50.3872;15.2863
Chyňava;50.0250;14.0942
Chyše;50.1003;13.2577
Chyšky;49.5275;14.4147
Chyšná;49.5935;15.0966
Chářovice;49.8193;14.5749
Chýnice;49.9863;14.2587
Chýnov;49.4265;14.7955
Chýně;50.0604;14.2142
Chýstovice;49.5875;15.0793
Chýšť;50.1370;15.5569
Chřenovice;49.7152;15.2179
Chřibská;50.8584;14.4882
Chříč;49.9818;13.6545
Cidlina;49.1450;15.7243
Cikháj;49.6575;15.9579
Citice;50.1602;12.6007
Citonice;48.8837;15.9699
Citov;49.4690;17.3247
Cizkrajov;49.0247;15.3940
Cotkytle;49.9300;16.7103
Crhov;49.5479;16.4350
Ctiboř;49.7370;14.9058
Ctiboř;49.8324;12.6192
